net,length_um
net319,68.715µm
net994,68.7µm
_02596_,68.66µm
clknet_leaf_140_clk,68.5µm
clknet_leaf_132_clk,68.4µm
net241,68.36µm
_02601_,68.2µm
alu_out\[30\],68.145µm
net134,68.07µm
clknet_leaf_150_clk,68.06µm
clknet_leaf_106_clk,68.04µm
_04643_,67.82µm
net280,67.56µm
_02484_,67.48µm
clknet_leaf_123_clk,67.4µm
net769,67.32µm
net264,67.17µm
_01543_,67.02µm
decoded_imm_j\[16\],66.86µm
_01754_,66.7µm
_01601_,66.57µm
clknet_leaf_57_clk,66.5µm
_02651_,66.38µm
decoded_imm_j\[10\],66.27µm
mem_rdata_q\[11\],66.205µm
clknet_leaf_130_clk,66.185µm
net612,66.18µm
clknet_leaf_66_clk,66.16µm
_03702_,65.94µm
clknet_leaf_103_clk,65.88µm
_01933_,65.7µm
_03722_,65.64µm
count_cycle\[0\],65.44µm
net701,65.32µm
_02747_,65.24µm
_02774_,65.1µm
latched_rd\[3\],65.06µm
_02570_,65.04µm
net309,65.04µm
clknet_leaf_43_clk,65.02µm
net28,64.895µm
alu_out\[19\],64.885µm
clknet_leaf_41_clk,64.84µm
clknet_leaf_97_clk,64.8µm
_03936_,64.24µm
clknet_leaf_125_clk,64.18µm
_03718_,64.12µm
_03589_,63.96µm
_02834_,63.87µm
_04750_,63.77µm
_03711_,63.57µm
_02654_,63.4µm
decoded_imm\[30\],63.38µm
_02656_,63.36µm
net998,63.32µm
alu_out\[5\],63.265µm
_01568_,63.24µm
_02583_,63.2µm
reg_pc\[11\],63.18µm
_02527_,63.12µm
_04033_,63.12µm
_02479_,63.04µm
net100,62.96µm
net244,62.7µm
cpu_state\[1\],62.65µm
_01970_,62.64µm
net33,62.58µm
_01919_,62.44µm
_02931_,62.42µm
clknet_leaf_139_clk,62.36µm
mem_rdata_q\[18\],62.26µm
instr_srli,62.24µm
net133,62.2µm
_03714_,62.14µm
_01950_,62.02µm
_02659_,61.84µm
_02607_,61.72µm
decoded_imm_j\[2\],61.63µm
_02695_,61.58µm
net246,61.58µm
_03097_,61.54µm
net288,61.5µm
_03608_,61.44µm
alu_out_q\[18\],61.44µm
net619,61.28µm
net986,61.28µm
_02735_,61.2µm
clknet_leaf_37_clk,61.2µm
_03037_,61.02µm
clknet_leaf_30_clk,60.86µm
reg_pc\[26\],60.84µm
_04747_,60.54µm
_03572_,60.34µm
clknet_leaf_147_clk,60.32µm
_03782_,60.215µm
clknet_leaf_5_clk,59.98µm
_03583_,59.88µm
_01688_,59.86µm
_02176_,59.7µm
net111,59.62µm
clknet_leaf_16_clk,59.62µm
net278,59.58µm
net317,59.54µm
_03385_,59.52µm
_04255_,59.52µm
_02419_,59.36µm
clknet_leaf_27_clk,59.195µm
_03652_,59.18µm
mem_do_rinst,59.14µm
reg_pc\[12\],58.98µm
alu_out\[4\],58.925µm
net993,58.88µm
_01669_,58.86µm
_03315_,58.68µm
net266,58.66µm
net274,58.6µm
_03705_,58.59µm
net105,58.56µm
_04027_,58.41µm
_02642_,58.38µm
_02832_,58.38µm
net256,58.28µm
instr_sw,58.25µm
clknet_leaf_112_clk,58.14µm
_03682_,58.08µm
reg_pc\[16\],58.04µm
_01101_,58µm
alu_out_q\[7\],57.76µm
_01875_,57.64µm
_02784_,57.6µm
reg_pc\[6\],57.6µm
_01675_,57.58µm
_04095_,57.55µm
_03727_,57.42µm
clknet_leaf_117_clk,57.34µm
clknet_leaf_108_clk,57.19µm
clknet_leaf_42_clk,57.18µm
_04749_,57.1µm
clknet_leaf_38_clk,57.02µm
clknet_leaf_61_clk,56.94µm
_03713_,56.9µm
alu_out\[2\],56.725µm
mem_rdata_q\[2\],56.64µm
net98,56.64µm
_04644_,56.56µm
net132,56.29µm
_02965_,56.28µm
_02643_,56.26µm
_01626_,56.21µm
_02963_,56.17µm
mem_rdata_q\[9\],56.165µm
_04295_,56.14µm
clknet_leaf_142_clk,56.1µm
_04845_,56.08µm
net292,56.08µm
_02677_,56.02µm
_03159_,56.02µm
reg_pc\[23\],56µm
_02939_,55.98µm
_02580_,55.94µm
clknet_leaf_19_clk,55.78µm
_04626_,55.68µm
_03618_,55.61µm
_02785_,55.54µm
_02588_,55.52µm
_03786_,55.265µm
_01619_,55.24µm
net290,55.22µm
_03724_,55.2µm
_01930_,55.14µm
_03556_,55.1µm
net129,54.94µm
_03981_,54.92µm
reg_pc\[9\],54.88µm
_02221_,54.84µm
clknet_leaf_0_clk,54.78µm
_01865_,54.76µm
alu_out\[20\],54.685µm
clknet_leaf_115_clk,54.66µm
_01630_,54.64µm
net296,54.52µm
_03402_,54.5µm
_03561_,54.46µm
net300,54.44µm
mem_rdata_q\[16\],54.43µm
alu_out_q\[8\],54.36µm
_02690_,54.115µm
alu_out\[31\],53.985µm
_03709_,53.78µm
clknet_leaf_99_clk,53.48µm
latched_rd\[0\],53.3µm
_01569_,53.24µm
alu_out\[3\],53.165µm
_01660_,53.08µm
_02766_,52.92µm
_02773_,52.92µm
net109,52.9µm
_04249_,52.88µm
_03710_,52.76µm
_04254_,52.76µm
clknet_leaf_133_clk,52.76µm
reg_pc\[18\],52.72µm
net258,52.7µm
_01720_,52.54µm
net496,52.54µm
_01943_,52.52µm
alu_out_q\[14\],52.46µm
instr_and,52.18µm
_03716_,52.08µm
_04841_,52.06µm
alu_out\[6\],52.02µm
mem_rdata_q\[15\],52.02µm
clknet_leaf_77_clk,51.68µm
_03567_,51.6µm
_02610_,51.56µm
decoded_imm\[2\],51.26µm
clknet_leaf_136_clk,51.26µm
_03565_,51.24µm
net248,51.24µm
_01921_,51.18µm
_01629_,50.96µm
_03099_,50.96µm
_03332_,50.86µm
_04258_,50.54µm
clknet_leaf_143_clk,50.535µm
_01995_,50.48µm
_02794_,50.46µm
_02731_,50.38µm
clknet_leaf_135_clk,50.32µm
clknet_leaf_80_clk,50.28µm
alu_out\[18\],50.195µm
_04203_,50.18µm
_02579_,50.065µm
_03723_,49.98µm
_02142_,49.9µm
_02152_,49.885µm
count_cycle\[22\],49.84µm
_02078_,49.74µm
cpuregs\[15\]\[19\],49.54µm
mem_rdata_q\[10\],49.445µm
_01935_,49.36µm
alu_out_q\[16\],49.18µm
reg_pc\[29\],49.02µm
_03320_,49µm
_01654_,48.86µm
_02132_,48.72µm
_04828_,48.6µm
_03314_,48.51µm
_03200_,48.46µm
_02006_,48.44µm
_03580_,48.44µm
clknet_leaf_79_clk,48.36µm
_02597_,48.32µm
clknet_leaf_46_clk,48.32µm
_03603_,48.28µm
_04125_,48.28µm
_02223_,48.26µm
_01582_,48.17µm
clknet_leaf_116_clk,48.12µm
_03267_,48.02µm
_04908_,47.945µm
_02357_,47.88µm
_02173_,47.82µm
count_cycle\[1\],47.78µm
_03378_,47.7µm
_02575_,47.66µm
alu_out_q\[2\],47.54µm
_02482_,47.52µm
_03307_,47.42µm
_02803_,47.3µm
_03593_,47.26µm
_04793_,47.14µm
clknet_leaf_39_clk,47.1µm
_01659_,47.06µm
_03598_,46.98µm
_02993_,46.94µm
net500,46.89µm
_01595_,46.82µm
_02035_,46.76µm
alu_out\[1\],46.74µm
_03383_,46.7µm
clknet_leaf_18_clk,46.64µm
reg_pc\[21\],46.58µm
_02692_,46.56µm
_04783_,46.54µm
_03109_,46.42µm
_01653_,46.4µm
_03725_,46.36µm
_02109_,46.34µm
_01760_,46.3µm
_03704_,46.16µm
reg_pc\[3\],46.16µm
alu_out\[17\],46.105µm
_02849_,46.1µm
_03662_,45.935µm
_04519_,45.84µm
_03291_,45.66µm
_01884_,45.64µm
mem_rdata_q\[8\],45.585µm
reg_pc\[31\],45.58µm
net272,45.58µm
_03434_,45.46µm
_03717_,45.42µm
net338,45.38µm
_02940_,45.26µm
latched_rd\[1\],45.26µm
_02658_,45.24µm
net262,45.19µm
net66,45.18µm
instr_bgeu,45.16µm
_01742_,45.02µm
_03005_,44.9µm
_02420_,44.88µm
count_instr\[2\],44.88µm
_02135_,44.78µm
_03728_,44.74µm
_03701_,44.7µm
_03785_,44.64µm
_01909_,44.58µm
_03809_,44.54µm
_01099_,44.505µm
_04478_,44.225µm
_02148_,44.18µm
_03700_,44.12µm
cpu_state\[5\],44.02µm
_02001_,44µm
_04080_,44µm
reg_pc\[13\],43.96µm
_02166_,43.92µm
_02018_,43.88µm
_04894_,43.845µm
reg_pc\[27\],43.835µm
_01923_,43.76µm
_04818_,43.7µm
_03236_,43.64µm
cpuregs\[21\]\[30\],43.64µm
net124,43.57µm
_02760_,43.46µm
alu_out\[16\],43.405µm
count_instr\[61\],43.35µm
count_instr\[11\],43.28µm
_03647_,43.22µm
_03657_,43.14µm
_04797_,43.1µm
clknet_leaf_48_clk,43.04µm
_03266_,42.96µm
_02160_,42.94µm
net260,42.78µm
_02139_,42.76µm
instr_slli,42.76µm
net268,42.76µm
alu_out\[25\],42.665µm
_02605_,42.66µm
net199,42.66µm
reg_pc\[15\],42.52µm
clknet_leaf_95_clk,42.46µm
_02021_,42.42µm
instr_sll,42.42µm
reg_pc\[14\],42.32µm
net587,42.315µm
_02585_,42.28µm
_02602_,42.22µm
net294,42.12µm
_04135_,42.1µm
mem_rdata_q\[1\],42.02µm
_03017_,41.96µm
_01904_,41.9µm
_01656_,41.81µm
_04257_,41.8µm
_04739_,41.8µm
net276,41.78µm
_04185_,41.7µm
_04075_,41.61µm
_02414_,41.32µm
_04870_,41.32µm
reg_pc\[25\],41.16µm
instr_lh,41.04µm
_02058_,40.99µm
_04787_,40.84µm
_02915_,40.76µm
_02903_,40.74µm
_04710_,40.72µm
_02092_,40.66µm
_02040_,40.6µm
_04146_,40.59µm
_02758_,40.58µm
_03083_,40.54µm
_04085_,40.54µm
_02679_,40.52µm
_03120_,40.5µm
alu_out_q\[3\],40.46µm
reg_pc\[28\],40.44µm
_01836_,40.425µm
_04115_,40.4µm
reg_pc\[17\],40.355µm
_03411_,40.3µm
_03707_,40.3µm
_03507_,40.24µm
_02294_,40.21µm
alu_out\[10\],40.12µm
_02370_,40.09µm
_04381_,39.92µm
_02011_,39.9µm
reg_pc\[19\],39.84µm
count_instr\[30\],39.76µm
_04744_,39.63µm
_04692_,39.52µm
_03697_,39.44µm
_02325_,39.4µm
_03400_,39.36µm
_03744_,39.36µm
_02688_,39.16µm
_02667_,39.02µm
_02615_,38.97µm
_04912_,38.965µm
_04830_,38.9µm
_01603_,38.86µm
alu_out_q\[29\],38.84µm
_04090_,38.8µm
_03360_,38.78µm
_02534_,38.68µm
alu_out\[13\],38.6µm
_04005_,38.54µm
_03144_,38.46µm
_03478_,38.44µm
_04161_,38.36µm
_01628_,38.35µm
_02073_,38.32µm
count_instr\[57\],38.28µm
_03613_,38.205µm
_02110_,38.18µm
_01591_,38.13µm
_02449_,37.98µm
_03726_,37.98µm
alu_out_q\[15\],37.92µm
alu_out\[27\],37.9µm
_02082_,37.88µm
_01662_,37.74µm
_03424_,37.66µm
is_sll_srl_sra,37.59µm
count_instr\[6\],37.46µm
net197,37.44µm
_04100_,37.24µm
alu_out\[28\],37.22µm
net128,37.22µm
_04130_,37.21µm
_02096_,37.11µm
_04865_,37.1µm
_01801_,36.98µm
mem_addr[22],36.98µm
_02863_,36.82µm
count_instr\[42\],36.82µm
reg_pc\[22\],36.74µm
_02054_,36.64µm
cpuregs\[17\]\[16\],36.62µm
instr_lw,36.515µm
pcpi_rs1[18],36.5µm
_03687_,36.49µm
cpuregs\[25\]\[9\],36.48µm
_03251_,36.44µm
decoded_imm_j\[7\],36.295µm
_02550_,36.22µm
_03695_,36.17µm
_02172_,36.045µm
_03401_,36.02µm
mem_rdata_q\[19\],36.02µm
_02175_,36µm
_04666_,35.98µm
alu_out_q\[6\],35.94µm
_04276_,35.92µm
_04552_,35.9µm
_03278_,35.76µm
_02129_,35.68µm
_02066_,35.635µm
_04843_,35.62µm
cpuregs\[24\]\[17\],35.62µm
_03369_,35.6µm
_04589_,35.6µm
_02233_,35.5µm
cpuregs\[0\]\[24\],35.48µm
_03167_,35.43µm
_03133_,35.3µm
_04277_,35.3µm
cpuregs\[24\]\[7\],35.28µm
count_cycle\[38\],35.24µm
_02087_,35.215µm
count_instr\[14\],35.21µm
_03832_,35.14µm
alu_out_q\[4\],35.12µm
_04105_,35.02µm
_04769_,34.98µm
alu_out_q\[23\],34.94µm
net588,34.88µm
cpuregs\[24\]\[15\],34.86µm
mem_rdata_q\[0\],34.78µm
alu_out_q\[24\],34.72µm
_02716_,34.7µm
_03864_,34.68µm
count_instr\[49\],34.66µm
net334,34.64µm
net996,34.64µm
_02705_,34.54µm
_01635_,34.42µm
cpuregs\[10\]\[19\],34.39µm
cpuregs\[21\]\[29\],34.38µm
net94,34.36µm
reg_pc\[30\],34.34µm
net104,34.3µm
_01894_,34.28µm
alu_out_q\[9\],34.28µm
_04661_,34.26µm
_02386_,34.24µm
clknet_leaf_153_clk,34.22µm
_03527_,34.2µm
_04363_,34.18µm
count_cycle\[5\],34.18µm
_03637_,34.13µm
_01597_,34.11µm
_02682_,34.1µm
_02623_,34.06µm
_04378_,34.03µm
_01596_,33.98µm
_04345_,33.96µm
_04273_,33.94µm
_04517_,33.9µm
cpuregs\[12\]\[2\],33.9µm
_04780_,33.88µm
_02630_,33.78µm
_02174_,33.72µm
_03699_,33.7µm
cpuregs\[12\]\[10\],33.7µm
_04151_,33.62µm
cpuregs\[9\]\[8\],33.6µm
count_cycle\[36\],33.54µm
_03712_,33.52µm
count_instr\[27\],33.52µm
net198,33.47µm
_03563_,33.46µm
count_cycle\[4\],33.455µm
_04907_,33.425µm
_04567_,33.38µm
mem_do_wdata,33.38µm
cpuregs\[14\]\[19\],33.31µm
_01636_,33.25µm
_02195_,33.16µm
count_instr\[60\],33.13µm
cpuregs\[24\]\[5\],33.12µm
_03763_,33.1µm
_04740_,33µm
_01798_,32.985µm
count_cycle\[43\],32.905µm
_03272_,32.9µm
count_instr\[46\],32.9µm
_01855_,32.76µm
_03226_,32.72µm
_01761_,32.68µm
instr_or,32.68µm
_03485_,32.67µm
_04140_,32.66µm
_03036_,32.58µm
decoded_imm_j\[12\],32.54µm
_02145_,32.46µm
_02960_,32.46µm
_01689_,32.36µm
count_instr\[48\],32.34µm
_02520_,32.32µm
_01100_,32.295µm
_03570_,32.28µm
cpuregs\[27\]\[8\],32.28µm
alu_out\[12\],32.125µm
_02050_,32.1µm
_04625_,32.08µm
count_instr\[38\],32.08µm
_01767_,32.06µm
_04468_,32.06µm
_02157_,32.02µm
is_jalr_addi_slti_sltiu_xori_ori_andi,32.02µm
_03632_,31.98µm
_01885_,31.95µm
_01864_,31.94µm
_02043_,31.92µm
_01121_,31.915µm
_01098_,31.9µm
_02031_,31.9µm
_02730_,31.86µm
mem_la_addr[22],31.84µm
_02640_,31.82µm
_04727_,31.78µm
_04120_,31.72µm
count_instr\[54\],31.72µm
net110,31.72µm
alu_out\[11\],31.705µm
instr_srai,31.7µm
count_cycle\[46\],31.695µm
count_instr\[0\],31.68µm
count_instr\[45\],31.68µm
_02008_,31.6µm
cpuregs\[6\]\[20\],31.51µm
cpuregs\[8\]\[10\],31.44µm
_04665_,31.36µm
_03741_,31.34µm
_01581_,31.3µm
count_cycle\[7\],31.3µm
_04234_,31.22µm
count_instr\[33\],31.22µm
_04866_,31.16µm
_02225_,31.14µm
cpuregs\[4\]\[28\],31.14µm
cpuregs\[7\]\[31\],31.07µm
alu_out\[26\],31.045µm
_03914_,31µm
_04742_,30.99µm
_02632_,30.88µm
mem_rdata_q\[14\],30.85µm
_04791_,30.78µm
instr_lui,30.78µm
_01879_,30.76µm
_01968_,30.74µm
_02415_,30.74µm
alu_out\[21\],30.725µm
cpuregs\[11\]\[4\],30.68µm
cpuregs\[28\]\[8\],30.68µm
_04898_,30.665µm
count_cycle\[14\],30.66µm
alu_out_q\[21\],30.64µm
_01579_,30.565µm
cpuregs\[5\]\[10\],30.56µm
mem_addr[25],30.54µm
count_cycle\[10\],30.52µm
pcpi_rs1[21],30.52µm
_03343_,30.5µm
_04705_,30.48µm
cpuregs\[1\]\[9\],30.48µm
count_cycle\[16\],30.46µm
cpuregs\[11\]\[29\],30.46µm
count_instr\[52\],30.36µm
cpuregs\[16\]\[7\],30.34µm
cpuregs\[25\]\[27\],30.32µm
_04672_,30.26µm
count_cycle\[13\],30.26µm
cpuregs\[29\]\[18\],30.24µm
_02159_,30.215µm
_03068_,30.2µm
_03451_,30.2µm
_01741_,30.18µm
cpuregs\[8\]\[30\],30.16µm
_03817_,30.125µm
_01857_,30.12µm
count_cycle\[28\],30.12µm
mem_addr[8],30.08µm
net99,30.08µm
_02076_,30.06µm
mem_la_addr[21],30.04µm
_01768_,30.015µm
_02120_,30µm
_03046_,29.96µm
_03380_,29.935µm
_01605_,29.92µm
_03989_,29.92µm
cpuregs\[28\]\[2\],29.92µm
count_instr\[8\],29.86µm
cpuregs\[8\]\[11\],29.86µm
cpuregs\[19\]\[2\],29.78µm
cpuregs\[1\]\[3\],29.76µm
_03426_,29.7µm
net77,29.64µm
_02646_,29.6µm
_03672_,29.56µm
_04327_,29.56µm
_04450_,29.52µm
cpuregs\[9\]\[10\],29.48µm
mem_la_addr[25],29.48µm
_02662_,29.46µm
_01124_,29.445µm
cpuregs\[11\]\[18\],29.4µm
cpuregs\[12\]\[28\],29.3µm
_01887_,29.26µm
cpuregs\[19\]\[24\],29.24µm
count_instr\[5\],29.22µm
cpuregs\[6\]\[15\],29.175µm
_01989_,29.12µm
_03993_,29.12µm
cpuregs\[12\]\[3\],29.12µm
_01787_,29.115µm
cpuregs\[15\]\[13\],29.1µm
net59,29.1µm
_02193_,29.08µm
_02435_,29.04µm
cpuregs\[6\]\[11\],29.01µm
count_instr\[17\],29µm
_03519_,28.98µm
cpuregs\[6\]\[16\],28.96µm
cpuregs\[23\]\[1\],28.9µm
cpuregs\[21\]\[8\],28.88µm
cpuregs\[4\]\[9\],28.88µm
mem_addr[17],28.88µm
cpuregs\[22\]\[11\],28.875µm
_04563_,28.85µm
cpuregs\[16\]\[23\],28.84µm
cpuregs\[7\]\[6\],28.84µm
_04833_,28.82µm
cpuregs\[17\]\[26\],28.82µm
cpuregs\[10\]\[18\],28.79µm
_01905_,28.78µm
count_instr\[51\],28.78µm
_02733_,28.74µm
count_cycle\[2\],28.74µm
net1786,28.72µm
_04501_,28.68µm
instr_bge,28.66µm
is_compare,28.64µm
count_instr\[41\],28.58µm
cpuregs\[23\]\[19\],28.54µm
_04241_,28.52µm
cpuregs\[12\]\[27\],28.52µm
_02802_,28.5µm
_04314_,28.5µm
cpuregs\[20\]\[2\],28.48µm
_02450_,28.46µm
pcpi_rs1[17],28.46µm
instr_sra,28.44µm
instr_sh,28.42µm
_03446_,28.36µm
_04623_,28.36µm
alu_out_q\[13\],28.36µm
_02909_,28.35µm
_01991_,28.34µm
cpuregs\[8\]\[16\],28.33µm
_02189_,28.32µm
_02635_,28.26µm
cpuregs\[10\]\[10\],28.25µm
cpuregs\[17\]\[24\],28.24µm
_02107_,28.22µm
_03258_,28.14µm
cpuregs\[28\]\[27\],28.14µm
cpuregs\[0\]\[31\],28.12µm
net2340,28.12µm
_02808_,28.1µm
cpuregs\[4\]\[26\],28.1µm
cpuregs\[7\]\[1\],28.1µm
instr_bltu,28.1µm
count_cycle\[62\],28.08µm
cpuregs\[27\]\[19\],28.06µm
_03667_,28.05µm
_03069_,28.04µm
_03111_,28.04µm
cpuregs\[17\]\[30\],28.04µm
cpuregs\[14\]\[13\],28.03µm
_02976_,28.025µm
_02701_,27.94µm
_03497_,27.94µm
cpuregs\[8\]\[20\],27.94µm
_02911_,27.9µm
_03323_,27.9µm
cpuregs\[15\]\[21\],27.9µm
_03040_,27.84µm
_04157_,27.82µm
cpuregs\[6\]\[7\],27.82µm
_04414_,27.8µm
cpuregs\[21\]\[20\],27.78µm
cpuregs\[8\]\[4\],27.78µm
_04819_,27.74µm
net63,27.74µm
count_cycle\[49\],27.7µm
count_instr\[43\],27.7µm
cpuregs\[24\]\[18\],27.7µm
_02648_,27.66µm
net91,27.66µm
count_instr\[36\],27.655µm
_03622_,27.64µm
cpuregs\[13\]\[29\],27.61µm
cpuregs\[25\]\[17\],27.58µm
cpuregs\[26\]\[3\],27.55µm
count_cycle\[3\],27.52µm
_01117_,27.485µm
_03374_,27.44µm
count_instr\[18\],27.42µm
count_instr\[58\],27.42µm
_01572_,27.4µm
_03902_,27.38µm
cpuregs\[9\]\[4\],27.38µm
mem_addr[4],27.36µm
cpuregs\[24\]\[11\],27.32µm
cpuregs\[8\]\[9\],27.32µm
count_cycle\[37\],27.3µm
cpuregs\[28\]\[10\],27.3µm
_02685_,27.28µm
_02548_,27.22µm
_03239_,27.22µm
cpuregs\[12\]\[14\],27.22µm
cpuregs\[29\]\[29\],27.22µm
cpuregs\[5\]\[5\],27.2µm
_04484_,27.16µm
cpuregs\[30\]\[5\],27.135µm
_01590_,27.1µm
cpuregs\[7\]\[19\],27.1µm
_04294_,27.08µm
_02481_,27.06µm
cpuregs\[8\]\[26\],27.06µm
instr_blt,27.06µm
_02209_,27.03µm
cpuregs\[23\]\[13\],27.02µm
cpuregs\[3\]\[24\],27.02µm
_03173_,27µm
_04341_,27µm
cpuregs\[17\]\[20\],26.96µm
_02953_,26.94µm
_02133_,26.9µm
_03542_,26.88µm
cpuregs\[19\]\[9\],26.88µm
cpuregs\[24\]\[9\],26.88µm
cpuregs\[20\]\[27\],26.86µm
instr_lhu,26.86µm
_01622_,26.84µm
cpuregs\[28\]\[16\],26.84µm
_04689_,26.8µm
_04586_,26.72µm
_01990_,26.68µm
count_cycle\[52\],26.67µm
_01599_,26.64µm
net81,26.64µm
mem_la_addr[26],26.62µm
cpuregs\[26\]\[17\],26.615µm
_02928_,26.6µm
cpuregs\[16\]\[30\],26.6µm
cpuregs\[2\]\[31\],26.6µm
_04638_,26.58µm
_04319_,26.56µm
_03213_,26.54µm
_04662_,26.52µm
count_cycle\[55\],26.5µm
cpuregs\[22\]\[12\],26.495µm
cpuregs\[0\]\[0\],26.44µm
cpuregs\[28\]\[29\],26.44µm
cpuregs\[5\]\[9\],26.4µm
_04049_,26.39µm
cpuregs\[16\]\[14\],26.38µm
cpuregs\[29\]\[19\],26.38µm
cpuregs\[8\]\[21\],26.36µm
_04882_,26.325µm
cpuregs\[14\]\[31\],26.31µm
cpuregs\[11\]\[19\],26.26µm
_03531_,26.22µm
_01700_,26.2µm
_04178_,26.18µm
cpuregs\[21\]\[6\],26.12µm
cpuregs\[4\]\[8\],26.1µm
cpuregs\[5\]\[30\],26.1µm
instr_bne,26.1µm
instr_sltu,26.1µm
_01866_,26.05µm
cpuregs\[21\]\[21\],26.02µm
_01896_,25.98µm
count_cycle\[34\],25.94µm
cpuregs\[20\]\[16\],25.92µm
cpuregs\[2\]\[9\],25.915µm
cpuregs\[14\]\[26\],25.91µm
_02711_,25.9µm
cpuregs\[24\]\[22\],25.88µm
cpuregs\[8\]\[6\],25.88µm
_02927_,25.84µm
_02913_,25.82µm
mem_la_addr[3],25.8µm
_01559_,25.78µm
_02163_,25.78µm
_02400_,25.78µm
cpuregs\[18\]\[13\],25.77µm
_02041_,25.76µm
cpuregs\[29\]\[2\],25.76µm
_03257_,25.72µm
_02072_,25.71µm
_01918_,25.68µm
_03502_,25.68µm
_02824_,25.66µm
cpuregs\[9\]\[12\],25.64µm
cpuregs\[9\]\[9\],25.64µm
_03475_,25.62µm
alu_out_q\[28\],25.62µm
_02034_,25.58µm
_01647_,25.54µm
net62,25.54µm
_02820_,25.52µm
cpuregs\[13\]\[0\],25.52µm
cpuregs\[4\]\[27\],25.52µm
cpuregs\[12\]\[8\],25.5µm
count_cycle\[61\],25.495µm
_04065_,25.48µm
pcpi_rs1[22],25.48µm
_01606_,25.465µm
_04899_,25.465µm
cpuregs\[6\]\[19\],25.45µm
count_instr\[39\],25.44µm
cpuregs\[28\]\[26\],25.44µm
mem_addr[21],25.44µm
cpuregs\[10\]\[13\],25.415µm
alu_out\[7\],25.405µm
_02948_,25.4µm
_03074_,25.4µm
count_instr\[12\],25.4µm
cpuregs\[24\]\[24\],25.4µm
cpuregs\[2\]\[22\],25.35µm
cpuregs\[8\]\[17\],25.34µm
_02707_,25.3µm
_02781_,25.28µm
_04585_,25.28µm
cpuregs\[14\]\[10\],25.265µm
_03156_,25.26µm
_03677_,25.26µm
cpuregs\[12\]\[11\],25.24µm
cpuregs\[4\]\[3\],25.22µm
_02269_,25.2µm
_01666_,25.16µm
_02104_,25.16µm
count_instr\[15\],25.16µm
mem_rdata_q\[5\],25.14µm
cpuregs\[13\]\[25\],25.12µm
cpuregs\[28\]\[15\],25.1µm
cpuregs\[20\]\[28\],25.08µm
cpuregs\[31\]\[28\],25.08µm
_04419_,25.06µm
cpuregs\[17\]\[19\],25.06µm
cpuregs\[22\]\[31\],25.045µm
cpuregs\[12\]\[21\],25.04µm
cpuregs\[12\]\[4\],25.04µm
cpuregs\[29\]\[4\],25.04µm
cpuregs\[9\]\[3\],25.02µm
_02669_,25µm
cpuregs\[18\]\[23\],24.99µm
cpuregs\[28\]\[9\],24.98µm
cpuregs\[15\]\[30\],24.975µm
_02537_,24.96µm
cpuregs\[12\]\[31\],24.96µm
_04809_,24.94µm
cpuregs\[0\]\[28\],24.94µm
cpuregs\[19\]\[7\],24.94µm
cpuregs\[27\]\[0\],24.92µm
cpuregs\[20\]\[31\],24.9µm
cpuregs\[18\]\[7\],24.875µm
_02121_,24.86µm
_03057_,24.86µm
cpuregs\[17\]\[27\],24.86µm
_02979_,24.825µm
alu_out_q\[5\],24.82µm
cpuregs\[18\]\[6\],24.815µm
_02062_,24.775µm
cpuregs\[14\]\[21\],24.775µm
_00841_,24.765µm
count_cycle\[23\],24.76µm
cpuregs\[21\]\[19\],24.76µm
cpuregs\[27\]\[22\],24.74µm
cpuregs\[28\]\[19\],24.74µm
cpuregs\[20\]\[19\],24.72µm
cpuregs\[9\]\[0\],24.72µm
_02729_,24.7µm
_02772_,24.7µm
count_instr\[25\],24.7µm
instr_xori,24.7µm
decoded_imm_j\[13\],24.66µm
cpuregs\[28\]\[1\],24.6µm
cpuregs\[13\]\[20\],24.56µm
cpuregs\[1\]\[21\],24.52µm
cpuregs\[23\]\[8\],24.52µm
cpuregs\[23\]\[16\],24.51µm
cpuregs\[29\]\[1\],24.5µm
_02959_,24.48µm
cpuregs\[16\]\[11\],24.48µm
_04293_,24.46µm
_04396_,24.46µm
count_cycle\[19\],24.44µm
net170,24.4µm
cpuregs\[11\]\[15\],24.38µm
_01576_,24.36µm
cpuregs\[11\]\[10\],24.36µm
cpuregs\[7\]\[18\],24.36µm
_02528_,24.32µm
_02738_,24.31µm
_01704_,24.305µm
_02341_,24.3µm
cpuregs\[21\]\[25\],24.28µm
cpuregs\[25\]\[11\],24.28µm
_04659_,24.26µm
_04303_,24.24µm
cpuregs\[12\]\[25\],24.24µm
cpuregs\[4\]\[20\],24.24µm
cpuregs\[26\]\[18\],24.235µm
cpuregs\[8\]\[2\],24.22µm
_03398_,24.18µm
cpuregs\[27\]\[10\],24.18µm
cpuregs\[7\]\[11\],24.18µm
_03566_,24.16µm
_03899_,24.16µm
cpuregs\[24\]\[13\],24.16µm
cpuregs\[2\]\[15\],24.15µm
cpuregs\[15\]\[10\],24.12µm
cpuregs\[7\]\[12\],24.12µm
_01778_,24.1µm
cpuregs\[25\]\[7\],24.08µm
_04214_,24.06µm
cpuregs\[4\]\[23\],24.06µm
cpuregs\[16\]\[1\],24.04µm
cpuregs\[7\]\[30\],24.04µm
instr_xor,24.04µm
cpuregs\[14\]\[24\],24.035µm
_01096_,24.005µm
count_cycle\[17\],24µm
cpuregs\[21\]\[11\],24µm
mem_do_prefetch,23.995µm
cpuregs\[2\]\[13\],23.975µm
